Size,Type,MergeSort,HybridMergeSort
500,Random,1644,297
500,Reversed,508,224
500,AlmostSorted,492,212
600,Random,542,260
600,Reversed,453,197
600,AlmostSorted,468,224
700,Random,497,232
700,Reversed,435,197
700,AlmostSorted,456,217
800,Random,513,232
800,Reversed,433,208
800,AlmostSorted,497,215
900,Random,535,233
900,Reversed,437,209
900,AlmostSorted,483,221
1000,Random,530,262
1000,Reversed,448,222
1000,AlmostSorted,509,248
1100,Random,540,276
1100,Reversed,468,234
1100,AlmostSorted,522,270
1200,Random,573,285
1200,Reversed,482,243
1200,AlmostSorted,545,278
1300,Random,611,303
1300,Reversed,543,256
1300,AlmostSorted,583,301
1400,Random,640,336
1400,Reversed,572,289
1400,AlmostSorted,674,336
1500,Random,694,361
1500,Reversed,637,311
1500,AlmostSorted,702,362
1600,Random,785,387
1600,Reversed,686,338
1600,AlmostSorted,736,359
1700,Random,770,381
1700,Reversed,664,361
1700,AlmostSorted,780,406
1800,Random,872,449
1800,Reversed,801,392
1800,AlmostSorted,920,447
1900,Random,988,469
1900,Reversed,862,437
1900,AlmostSorted,1015,528
2000,Random,1079,541
2000,Reversed,844,434
2000,AlmostSorted,974,518
2100,Random,1041,563
2100,Reversed,941,445
2100,AlmostSorted,1042,561
2200,Random,1074,573
2200,Reversed,949,515
2200,AlmostSorted,1095,602
2300,Random,1136,622
2300,Reversed,1007,527
2300,AlmostSorted,1172,626
2400,Random,1222,646
2400,Reversed,1033,514
2400,AlmostSorted,1199,644
2500,Random,1247,668
2500,Reversed,1066,555
2500,AlmostSorted,1248,666
2600,Random,1296,696
2600,Reversed,1112,579
2600,AlmostSorted,1299,693
2700,Random,1353,718
2700,Reversed,1167,600
2700,AlmostSorted,1352,715
2800,Random,1405,752
2800,Reversed,1219,580
2800,AlmostSorted,1333,746
2900,Random,1467,774
2900,Reversed,1270,646
2900,AlmostSorted,1469,773
3000,Random,1525,799
3000,Reversed,1328,674
3000,AlmostSorted,1525,801
3100,Random,1578,828
3100,Reversed,1367,694
3100,AlmostSorted,1577,821
3200,Random,1630,849
3200,Reversed,1411,721
3200,AlmostSorted,1628,851
3300,Random,1686,883
3300,Reversed,1471,761
3300,AlmostSorted,1702,892
3400,Random,1757,930
3400,Reversed,1523,786
3400,AlmostSorted,1753,918
3500,Random,1817,946
3500,Reversed,1573,813
3500,AlmostSorted,1806,948
3600,Random,1857,963
3600,Reversed,1601,826
3600,AlmostSorted,1851,964
3700,Random,1917,988
3700,Reversed,1654,860
3700,AlmostSorted,1909,993
3800,Random,1969,1017
3800,Reversed,1695,878
3800,AlmostSorted,1967,1019
3900,Random,2026,1074
3900,Reversed,1742,916
3900,AlmostSorted,2025,1072
4000,Random,2070,1143
4000,Reversed,1780,957
4000,AlmostSorted,2059,1134
4100,Random,2104,1202
4100,Reversed,1813,975
4100,AlmostSorted,2105,1227
4200,Random,2171,1231
4200,Reversed,1856,1006
4200,AlmostSorted,2167,1237
4300,Random,2232,1262
4300,Reversed,1899,1033
4300,AlmostSorted,2221,1258
4400,Random,2294,1297
4400,Reversed,1950,1049
4400,AlmostSorted,2288,1288
4500,Random,2348,1316
4500,Reversed,2001,1076
4500,AlmostSorted,2346,1316
4600,Random,2405,1344
4600,Reversed,2062,1104
4600,AlmostSorted,2403,1341
4700,Random,2481,1374
4700,Reversed,2101,1119
4700,AlmostSorted,2461,1375
4800,Random,2521,1412
4800,Reversed,2091,1174
4800,AlmostSorted,2526,1426
4900,Random,2613,1446
4900,Reversed,2197,1201
4900,AlmostSorted,2579,1447
5000,Random,2632,1479
5000,Reversed,2238,1226
5000,AlmostSorted,2642,1474
5100,Random,2683,1505
5100,Reversed,2286,1233
5100,AlmostSorted,2682,1494
5200,Random,2748,1532
5200,Reversed,2329,1266
5200,AlmostSorted,2749,1539
5300,Random,2806,1563
5300,Reversed,2394,1284
5300,AlmostSorted,2823,1557
5400,Random,2859,1580
5400,Reversed,2434,1309
5400,AlmostSorted,2861,1584
5500,Random,2915,1615
5500,Reversed,2491,1333
5500,AlmostSorted,2921,1619
5600,Random,2975,1643
5600,Reversed,2539,1362
5600,AlmostSorted,2974,1650
5700,Random,3035,1683
5700,Reversed,2587,1387
5700,AlmostSorted,3024,1668
5800,Random,3076,1698
5800,Reversed,2635,1412
5800,AlmostSorted,3084,1698
5900,Random,3136,1729
5900,Reversed,2685,1442
5900,AlmostSorted,3144,1730
6000,Random,3199,1768
6000,Reversed,2746,1468
6000,AlmostSorted,3207,1760
6100,Random,3254,1782
6100,Reversed,2781,1492
6100,AlmostSorted,3253,1790
6200,Random,3309,1815
6200,Reversed,2836,1517
6200,AlmostSorted,3307,1833
6300,Random,3374,1859
6300,Reversed,2901,1550
6300,AlmostSorted,3367,1851
6400,Random,3418,1878
6400,Reversed,2926,1578
6400,AlmostSorted,3420,1875
6500,Random,3479,1906
6500,Reversed,2970,1600
6500,AlmostSorted,3479,1904
6600,Random,3538,1935
6600,Reversed,3015,1629
6600,AlmostSorted,3538,1940
6700,Random,3600,1962
6700,Reversed,3067,1657
6700,AlmostSorted,3602,1971
6800,Random,3657,1992
6800,Reversed,3106,1686
6800,AlmostSorted,3652,1997
6900,Random,3705,2030
6900,Reversed,3158,1709
6900,AlmostSorted,3701,2030
7000,Random,3753,2052
7000,Reversed,3209,1740
7000,AlmostSorted,3753,2067
7100,Random,3811,2085
7100,Reversed,3250,1766
7100,AlmostSorted,3830,2086
7200,Random,3879,2124
7200,Reversed,3295,1792
7200,AlmostSorted,3893,2118
7300,Random,3940,2153
7300,Reversed,3340,1820
7300,AlmostSorted,3937,2143
7400,Random,3980,2175
7400,Reversed,3389,1847
7400,AlmostSorted,3985,2169
7500,Random,4059,2235
7500,Reversed,3438,1878
7500,AlmostSorted,4038,2204
7600,Random,4093,2236
7600,Reversed,3484,1907
7600,AlmostSorted,4093,2239
7700,Random,4157,2273
7700,Reversed,3529,1934
7700,AlmostSorted,4146,2272
7800,Random,4206,2345
7800,Reversed,3575,1975
7800,AlmostSorted,4220,2348
7900,Random,4264,2418
7900,Reversed,3620,2015
7900,AlmostSorted,4259,2423
8000,Random,4312,2491
8000,Reversed,3670,2057
8000,AlmostSorted,4319,2491
8100,Random,4365,2567
8100,Reversed,3702,2098
8100,AlmostSorted,4364,2569
8200,Random,4421,2632
8200,Reversed,3748,2128
8200,AlmostSorted,4419,2632
8300,Random,4494,2674
8300,Reversed,3812,2160
8300,AlmostSorted,4492,2670
8400,Random,4559,2704
8400,Reversed,3862,2189
8400,AlmostSorted,4555,2750
8500,Random,4643,2757
8500,Reversed,3948,2219
8500,AlmostSorted,4618,2733
8600,Random,4688,2768
8600,Reversed,3964,2242
8600,AlmostSorted,4688,2775
8700,Random,4743,2793
8700,Reversed,4025,2265
8700,AlmostSorted,4744,2793
8800,Random,4811,2833
8800,Reversed,4081,2298
8800,AlmostSorted,4809,2847
8900,Random,4886,2880
8900,Reversed,4131,2324
8900,AlmostSorted,4875,2858
9000,Random,4932,2884
9000,Reversed,4183,2349
9000,AlmostSorted,4928,2885
9100,Random,4993,2919
9100,Reversed,4233,2373
9100,AlmostSorted,4996,2919
9200,Random,5051,2959
9200,Reversed,4295,2403
9200,AlmostSorted,5056,2953
9300,Random,5114,2977
9300,Reversed,4342,2428
9300,AlmostSorted,5113,2976
9400,Random,5172,3012
9400,Reversed,4418,2487
9400,AlmostSorted,5175,3009
9500,Random,5229,3049
9500,Reversed,4444,2490
9500,AlmostSorted,5231,3045
9600,Random,5289,3077
9600,Reversed,4489,2508
9600,AlmostSorted,5313,3083
9700,Random,5348,3109
9700,Reversed,4539,2537
9700,AlmostSorted,5357,3110
9800,Random,5415,3138
9800,Reversed,4583,2562
9800,AlmostSorted,5414,3143
9900,Random,5460,3172
9900,Reversed,4633,2593
9900,AlmostSorted,5468,3170
10000,Random,5523,3204
10000,Reversed,4691,2621
10000,AlmostSorted,5530,3207
